domain,technology,categories,evidence
jcmobilecigars.com,HSTS,Security,header: Strict-Transport-Security
jcmobilecigars.com,Squarespace,CMS,header: server=Squarespace
jcmobilecigars.com,Squarespace Commerce,Ecommerce,header: server=Squarespace
somalidisablesupport.com,Apache HTTP Server,Web servers,header: Server=Apache
somalidisablesupport.com,Elementor,Page builders; WordPress plugins,meta: generator=Elementor 3.27.5; features: additional_c
somalidisablesupport.com,Endurance Page Cache,WordPress plugins; Caching,header: x-endurance-cache-level
somalidisablesupport.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: https://somalidisablesupport.com/wp-content/themes/astra/ass"
somalidisablesupport.com,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
somalidisablesupport.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
somalidisablesupport.com,PHP,Programming languages,implied by WordPress
somalidisablesupport.com,MySQL,Databases,implied by WordPress
somalidisablesupport.com,SPF,DNS,DNS record contains 'v=spf1'
yourfamilylines.com,Apache HTTP Server,Web servers,header: Server=Apache
yourfamilylines.com,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
szentkristofudvarhaz.hu,Apache HTTP Server,Web servers,header: Server=Apache
szentkristofudvarhaz.hu,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: X-Pingback=https://szentkristofudvarhaz.hu/xmlrpc.p | script: https://szentkristofudvarhaz.hu/wp-content/themes/szentkrist"
szentkristofudvarhaz.hu,PHP,Programming languages,implied by WordPress
szentkristofudvarhaz.hu,MySQL,Databases,implied by WordPress
szentkristofudvarhaz.hu,SPF,DNS,DNS record contains 'v=spf1'
disneystore.com,Akamai,CDN,header: X-Akamai-Transformed
disneystore.com,Akamai Bot Manager,Security,cookie: bm_sz
disneystore.com,Akamai mPulse,RUM,html: <script>[\s\S]*?go-mpulse\.net\/boomerang[\s\S]*?</script>
disneystore.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
disneystore.com,HSTS,Security,header: Strict-Transport-Security
disneystore.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=93600"
disneystore.com,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=explicit
disneystore.com,Salesforce Commerce Cloud,Ecommerce,cookie: dw_dnt | cookie: dwsid
disneystore.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
disneystore.com,E-commerce,robots.txt,robots.txt contains '/checkout'
disneystore.com,Boomerang,JavaScript libraries; RUM,implied by Akamai mPulse
disneystore.com,Salesforce,CRM,implied by Salesforce Commerce Cloud
disneystore.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
disneystore.com,SPF,DNS,DNS record contains 'v=spf1'
chavchavadze-m2-41-tbilisi.booked.net,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
chavchavadze-m2-41-tbilisi.booked.net,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
trs-energycontrol.de,Google Cloud CDN,CDN,header: Via=1.1 google
trs-energycontrol.de,HSTS,Security,header: Strict-Transport-Security
trs-energycontrol.de,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000"
trs-energycontrol.de,WebsiteBuilder,Page builders,meta: generator=Wix.com Website Builder
trs-energycontrol.de,Wix,CMS; Blogs,header: X-Wix-Request-Id | meta: generator=Wix.com Website Builder
trs-energycontrol.de,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
trs-energycontrol.de,Google Cloud,IaaS,implied by Google Cloud CDN
trs-energycontrol.de,React,JavaScript frameworks,implied by Wix
xn--kleoghvidevareservice-qfc.dk,Nginx,Web servers; Reverse proxies,header: Server=nginx/1.29.1
xn--kleoghvidevareservice-qfc.dk,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: https://xn--kleoghvidevareservice-qfc.dk/wp-content/themes/a"
xn--kleoghvidevareservice-qfc.dk,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
xn--kleoghvidevareservice-qfc.dk,PHP,Programming languages,implied by WordPress
xn--kleoghvidevareservice-qfc.dk,MySQL,Databases,implied by WordPress
gogroupauto.com,HSTS,Security,header: Strict-Transport-Security
gogroupauto.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
231selfstorage.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
globalrn.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-ray
globalrn.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
globalrn.com,Google Workspace,DNS,DNS record contains 'google.com'
5starremoval.weebly.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
5starremoval.weebly.com,Cloudflare Bot Management,Security,cookie: __cf_bm
5starremoval.weebly.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
coenzwezerijnen.nu,Apache HTTP Server,Web servers,header: Server=Apache/2
gutendorf.ru,Nginx,Web servers; Reverse proxies,header: Server=nginx/1.28.2
gutendorf.ru,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=6LcsTxUaAAAAA
gutendorf.ru,UIKit,UI frameworks,"html: <[^>]+class=""[^""]*(?:uk-container|uk-section)"
gutendorf.ru,WooCommerce,Ecommerce; WordPress plugins,meta: generator=WooCommerce 7.9.0
gutendorf.ru,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: //gutendorf.ru/wp-content/cache/wpfc-minified/f3ihhar9/bumn8"
gutendorf.ru,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
gutendorf.ru,PHP,Programming languages,implied by WordPress
gutendorf.ru,MySQL,Databases,implied by WordPress
gutendorf.ru,SPF,DNS,DNS record contains 'v=spf1'
katesworldtravel.com,Bluehost,Hosting,header: host-header=c2hhcmVkLmJsdWVob3N0LmNvbQ==
katesworldtravel.com,Elementor,Page builders; WordPress plugins,meta: generator=Elementor 3.35.9; features: additional_c
katesworldtravel.com,Endurance Page Cache,WordPress plugins; Caching,header: x-endurance-cache-level
katesworldtravel.com,Nginx,Web servers; Reverse proxies,header: Server=nginx/1.27.2
katesworldtravel.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://katesworldtravel.com/wp-json/>; | script: https://katesworldtravel.com/wp-content/themes/astra/assets/"
katesworldtravel.com,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
katesworldtravel.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
katesworldtravel.com,PHP,Programming languages,implied by WordPress
katesworldtravel.com,MySQL,Databases,implied by WordPress
katesworldtravel.com,Google Workspace,DNS,DNS record contains 'google.com'
katesworldtravel.com,SPF,DNS,DNS record contains 'v=spf1'
3xd.co.uk,Bootstrap,UI frameworks,"html: <link[^>]* href=[^>]*?bootstrap(?:[^>]*?([0-9a-fA-F]{7,40}|["
3xd.co.uk,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
3xd.co.uk,Gravity Forms,WordPress plugins; Form builders,"html: <div class=(?:""|')[^>]*gform_wrapper | html: <div class=(?:""|')[^>]*gform_body"
3xd.co.uk,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
3xd.co.uk,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?hl=en&amp;ver=6.9.1#
3xd.co.uk,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://www.3xd.co.uk/wp-json/>; rel=""h | script: https://www.3xd.co.uk/wp-content/plugins/gravityforms/js/jqu"
3xd.co.uk,WordPress Block Editor,Page builders,"html: <div[^>]+class=[""']wp-block-*"
3xd.co.uk,WordPress Site Editor,Page builders,"html: <div class=""wp-site-blocks"">"
3xd.co.uk,WP Engine,PaaS; Hosting,header: X-Powered-By=WP Engine
3xd.co.uk,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
3xd.co.uk,ZURB Foundation,UI frameworks,"html: <link[^>]+foundation[^>""]+css"
3xd.co.uk,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
3xd.co.uk,PHP,Programming languages,implied by WordPress
3xd.co.uk,MySQL,Databases,implied by WordPress
3xd.co.uk,Google Workspace,DNS,DNS record contains 'google.com'
3xd.co.uk,Microsoft 365,DNS,DNS record contains 'ms='
3xd.co.uk,Google Search Console,DNS,DNS record contains 'google-site-verification'
3xd.co.uk,SPF,DNS,DNS record contains 'v=spf1'
3xd.co.uk,Apple,DNS,DNS record contains 'apple-domain-verification'
gapconstructionwi.com,Google Cloud CDN,CDN,header: Via=1.1 google
gapconstructionwi.com,HSTS,Security,header: Strict-Transport-Security
gapconstructionwi.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000"
gapconstructionwi.com,WebsiteBuilder,Page builders,meta: generator=Wix.com Website Builder
gapconstructionwi.com,Wix,CMS; Blogs,header: X-Wix-Request-Id | meta: generator=Wix.com Website Builder
gapconstructionwi.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
gapconstructionwi.com,Google Cloud,IaaS,implied by Google Cloud CDN
gapconstructionwi.com,React,JavaScript frameworks,implied by Wix
gapconstructionwi.com,Google Workspace,DNS,DNS record contains 'google.com'
gapconstructionwi.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
gapconstructionwi.com,SPF,DNS,DNS record contains 'v=spf1'
imgs.co.jp,Adobe Experience Manager,CMS,"html: <div class=""[^""]*aem-Grid"
imgs.co.jp,Apache HTTP Server,Web servers,header: Server=Apache
imgs.co.jp,Google Tag Manager,Tag managers,html: googletagmanager\.com/ns\.html[^>]+></iframe> | html: <!-- (?:End )?Google Tag Manager -->
imgs.co.jp,Java,Programming languages,implied by Adobe Experience Manager
imgs.co.jp,SPF,DNS,DNS record contains 'v=spf1'
imgs.co.jp,Microsoft 365,DNS,DNS record contains 'ms='
clotting-guide.online,Apache HTTP Server,Web servers,header: Server=Apache
clotting-guide.online,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://www.clotting-guide.online/wp-js | script: https://www.clotting-guide.online/wp-content/plugins/wpfront | meta: generator=WordPress 6.9.4"
clotting-guide.online,WordPress Block Editor,Page builders,"html: <div[^>]+class=[""']wp-block-*"
clotting-guide.online,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
clotting-guide.online,PHP,Programming languages,implied by WordPress
clotting-guide.online,MySQL,Databases,implied by WordPress
clotting-guide.online,SPF,DNS,DNS record contains 'v=spf1'
38inspect.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
38inspect.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
38inspect.com,Kinsta,PaaS; Hosting,header: x-kinsta-cache
38inspect.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://www.38inspect.com/wp-json/>; re | script: https://www.38inspect.com/wp-content/plugins/wp-review-slide | meta: generator=WordPress 6.9.4"
38inspect.com,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
38inspect.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
38inspect.com,PHP,Programming languages,implied by WordPress
38inspect.com,MySQL,Databases,implied by WordPress
38inspect.com,Microsoft 365,DNS,DNS record contains 'protection.outlook'
38inspect.com,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
38inspect.com,SPF,DNS,DNS record contains 'v=spf1'
newbeaverborough.org,Elementor,Page builders; WordPress plugins,meta: generator=Elementor 3.35.3; features: additional_c
newbeaverborough.org,Nginx,Web servers; Reverse proxies,header: Server=nginx
newbeaverborough.org,W3 Total Cache,Caching; WordPress plugins,html: <!--[^>]+W3 Total Cache
newbeaverborough.org,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: https://newbeaverborough.org/wp-content/plugins/cryptx/js/cr"
newbeaverborough.org,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
newbeaverborough.org,PHP,Programming languages,implied by WordPress
newbeaverborough.org,MySQL,Databases,implied by WordPress
newbeaverborough.org,SPF,DNS,DNS record contains 'v=spf1'
largsbaychiropractic.com.au,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
largsbaychiropractic.com.au,Cloudflare,DNS,DNS record contains 'cloudflare'
largsbaychiropractic.com.au,Microsoft 365,DNS,DNS record contains 'ms='
largsbaychiropractic.com.au,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
largsbaychiropractic.com.au,SPF,DNS,DNS record contains 'v=spf1'
rsthealthcare.com,Hostinger,Hosting,header: platform=hostinger
rsthealthcare.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000, h3-29="":443""; ma="
rsthealthcare.com,LiteSpeed,Web servers,header: Server=LiteSpeed
rsthealthcare.com,PHP,Programming languages,header: X-Powered-By=PHP/7.4.33
rsthealthcare.com,SPF,DNS,DNS record contains 'v=spf1'
dioxoxigenio.com.br,Apache HTTP Server,Web servers,header: Server=Apache
dioxoxigenio.com.br,WordPress,robots.txt,robots.txt contains '/wp-admin'
dioxoxigenio.com.br,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
dioxoxigenio.com.br,PHP,Programming languages,implied by WordPress
dioxoxigenio.com.br,MySQL,Databases,implied by WordPress
dioxoxigenio.com.br,SPF,DNS,DNS record contains 'v=spf1'
doringpoort.com,Nginx,Web servers; Reverse proxies,header: Server=nginx
doringpoort.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://doringpoort.com/wp-json/>; rel= | script: https://doringpoort.com/wp-content/plugins/wp-tripadvisor-re | meta: generator=WordPress 6.9.4"
doringpoort.com,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
doringpoort.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
doringpoort.com,PHP,Programming languages,implied by WordPress
doringpoort.com,MySQL,Databases,implied by WordPress
doringpoort.com,SPF,DNS,DNS record contains 'v=spf1'
fsbwyoming.com,Amazon S3,CDN,header: Content-Security-Policy=default-src * blob: 'unsafe-inline' 'uns
fsbwyoming.com,HSTS,Security,header: Strict-Transport-Security
fsbwyoming.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=93600"
fsbwyoming.com,Plaid,Payment processors; Miscellaneous,header: content-security-policy=default-src * blob: 'unsafe-inline' 'uns
fsbwyoming.com,Amazon Web Services,PaaS,implied by Amazon S3
fsbwyoming.com,Microsoft 365,DNS,DNS record contains 'protection.outlook'
fsbwyoming.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
fsbwyoming.com,SPF,DNS,DNS record contains 'v=spf1'
msc-manching.de,Apache HTTP Server,Web servers,header: Server=Apache
msc-manching.de,Bootstrap,UI frameworks,"html: <link[^>]* href=[^>]*?bootstrap(?:[^>]*?([0-9a-fA-F]{7,40}|["
msc-manching.de,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://msc-manching.de/wp-json/>; rel= | script: https://msc-manching.de/wp-content/themes/sparkling/assets/j | meta: generator=WordPress 6.2.9"
msc-manching.de,WordPress Block Editor,Page builders,"html: <div[^>]+class=[""']wp-block-*"
msc-manching.de,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
msc-manching.de,PHP,Programming languages,implied by WordPress
msc-manching.de,MySQL,Databases,implied by WordPress
msc-manching.de,SPF,DNS,DNS record contains 'v=spf1'
sgsextremaratio.it,Nginx,Web servers; Reverse proxies,header: Server=nginx/1.18.0 (Ubuntu)
sgsextremaratio.it,Nuxt.js,JavaScript frameworks; Web frameworks; Static site generator,"html: <div [^>]*id=""__nuxt"""
sgsextremaratio.it,Ubuntu,Operating systems,header: Server=nginx/1.18.0 (Ubuntu)
sgsextremaratio.it,Vue.js,JavaScript frameworks,html: <(?!svg)[^>]+\sdata-v(?:ue)?-
sgsextremaratio.it,Google Search Console,DNS,DNS record contains 'google-site-verification'
sgsextremaratio.it,SPF,DNS,DNS record contains 'v=spf1'
coastwidemechanicalcentralcoast.com.au,Divi,Page builders; WordPress themes; WordPress plugins,meta: generator=Divi v.4.27.6
coastwidemechanicalcentralcoast.com.au,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000, h3-29="":443""; ma="
coastwidemechanicalcentralcoast.com.au,LiteSpeed,Web servers,header: Server=LiteSpeed
coastwidemechanicalcentralcoast.com.au,LiteSpeed Cache,Caching; WordPress plugins,header: x-litespeed-cache
coastwidemechanicalcentralcoast.com.au,Litespeed Cache,Caching; WordPress plugins,header: x-litespeed-cache
coastwidemechanicalcentralcoast.com.au,PHP,Programming languages,header: X-Powered-By=PHP/7.4.33
coastwidemechanicalcentralcoast.com.au,WordPress,CMS; Blogs,header: link=<https://coastwidemechanicalcentralcoast | script: https://coastwidemechanicalcentralcoast.com.au/wp-content/li
coastwidemechanicalcentralcoast.com.au,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
coastwidemechanicalcentralcoast.com.au,MySQL,Databases,implied by WordPress
coastwidemechanicalcentralcoast.com.au,SPF,DNS,DNS record contains 'v=spf1'
amourfinder.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
amourfinder.com,SPF,DNS,DNS record contains 'v=spf1'
lojatatical.com.br,Google Workspace,DNS,DNS record contains 'google.com'
lojatatical.com.br,Google Search Console,DNS,DNS record contains 'google-site-verification'
lojatatical.com.br,SPF,DNS,DNS record contains 'v=spf1'
jobresourcecentre.com,Amazon Web Services,PaaS,script: //s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js
jobresourcecentre.com,Bootstrap,UI frameworks,"html: <link[^>]* href=[^>]*?bootstrap(?:[^>]*?([0-9a-fA-F]{7,40}|["
jobresourcecentre.com,Flywheel,PaaS; Hosting,header: x-fw-hash | header: x-fw-serve | header: x-fw-server=Flywheel/5.1.0 | header: x-fw-static | header: x-fw-type
jobresourcecentre.com,reCAPTCHA,Security,script: //www.google.com/recaptcha/api.js?ver=6.9.4
jobresourcecentre.com,Slider Revolution,Widgets; Photo galleries,meta: generator=Powered by Slider Revolution 6.6.14 - re
jobresourcecentre.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://jobresourcecentre.com/wp-json/> | script: https://jobresourcecentre.com/wp-content/themes/superio/js/b"
jobresourcecentre.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
jobresourcecentre.com,PHP,Programming languages,implied by WordPress
jobresourcecentre.com,MySQL,Databases,implied by WordPress
jobresourcecentre.com,Microsoft 365,DNS,DNS record contains 'protection.outlook'
jobresourcecentre.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
jobresourcecentre.com,SPF,DNS,DNS record contains 'v=spf1'
253media.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
253media.com,Google Tag Manager,Tag managers,html: googletagmanager\.com/ns\.html[^>]+></iframe>
253media.com,HSTS,Security,header: Strict-Transport-Security
253media.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
253media.com,Linkedin Ads,Advertising,"html: <img [^>]*src=""[^/]*//[^/]*px\.ads\.linkedin\.com"
253media.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
253media.com,Google Workspace,DNS,DNS record contains 'google.com'
253media.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
